No.,Time,Comment,Scramble
1,15.216,B,U D R2 F' B2 D' F2 B' U' B2 D2 B2 D2 L U2 R B2 L D2
2,14.800,B,D2 R' D2 B2 D2 R F2 R D2 L F2 U' L' R' F' U2 R' D L' B'
3,18.455,R,F' U2 D' B2 L D2 L' D' R D2 F D2 B' R2 U2 F2 R2
4,14.717,O,B' R2 B2 D2 R' B2 R' F2 D2 R' D2 L2 D' L' U2 R' F R' B2 D2 F
5,22.817,O,F' L2 D' R2 U2 R2 U B2 U R2 B U L' U2 R2 D2 F R F2
6,12.770,W,F2 R F' R' U' F' B' R B2 U' R' U2 L F2 L2 U2 R' D2 F2 B2
7,18.035,O,L' D U R2 U' B2 L2 B2 L2 D' F2 R B2 R B L' D B' F2
8,12.806,W,U2 R2 D2 B R' L D L2 D L' R2 U2 B2 U2 F2 U F2 L2 D' L2
9,12.353,Y,L2 D2 L' U R B U' F' L B' D2 L2 F2 R' U2 L2 F2 B2
10,17.974,B,F2 D' R2 D F2 D U2 R2 B2 D2 F2 B' R' U F D' R2 F2 R D2 B'
11,18.777,O,B2 D2 F2 R2 D' U' F2 R2 U F2 U' B' L D' B2 U B U F' L2 B2
12,11.525,Y,F2 D L2 R2 D R2 D' R2 F2 D U2 F' U' B2 U2 F L' U R U2 F'
13,13.602,R,L' B' U F2 L2 D L F2 U2 F' U' F2 L2 B2 L2 B2 U' B2
14,18.645,B,F2 U' F2 R' F2 U F' U' D' B2 L F2 R D2 R2 L D2 B2 U2 F'
15,16.085,O,D2 L2 U B2 R2 D L2 B2 U' L2 R' F2 D' U L' B L R B' R2
16,14.367,O                                                                                                                                                   ,B L' F2 D2 L' U2 F2 U2 L2 B2 U2 L2 B U' F2 D' F L' U' B
17,13.971,R,R2 F2 U B2 F2 D' L2 U2 L2 U B L D2 F2 U2 F' D' F U B R
18,14.119,G,U2 R2 F R2 B' U2 R2 U2 L2 U2 F2 D' R' B F' L2 D' L' B' R
19,14.782,B,F B2 U2 B2 R B2 L' D2 U2 L2 D2 R F R D L2 U' L D2 B'
20,11.535,W,R2 D' R2 D F2 D R2 U B2 D2 F' D' F2 U' L U2 B' U L2 R
21,17.515,G,L' F2 R2 B2 U2 F' R2 U2 F' R2 B2 D R' B' L2 B2 L U' B' U'
22,17.534,O,U2 B2 U' L2 R2 U B2 U' L2 U' L' F' U' F2 L2 U2 L' F2
23,10.077,G,U2 B2 R2 D U L2 D' F2 R' D R2 F2 U2 L' B' U2 R U'